area,year,month_name,mean_total_water,sd_total_water,mean_class1,mean_class2,mean_class3,n,month
Upper Klamath Lake,2019,May,55.868,3.845,0.186,53.897,1.784,2,5
Upper Klamath Lake,2019,Jun,53.087,4.605,0.009,52.519,0.559,2,6
Upper Klamath Lake,2019,Jul,52.136,4.5,0.092,50.193,1.85,4,7
Upper Klamath Lake,2019,Aug,48.599,2.973,0.08,46.965,1.553,4,8
Upper Klamath Lake,2019,Sep,51.994,NA,0.011,50.52,1.463,1,9
Upper Klamath Lake,2019,Oct,61.368,NA,0.08,60.433,0.856,1,10
Upper Klamath Lake,2019,Nov,62.246,4.151,0,61.222,1.024,3,11
Upper Klamath Lake,2020,Feb,75.38,1.102,4.157,64.079,7.144,3,2
Upper Klamath Lake,2020,Apr,46.818,20.442,0.538,43.519,2.762,5,4
Upper Klamath Lake,2020,May,33.563,25.253,0.002,33.193,0.368,3,5
Upper Klamath Lake,2020,Jun,46.658,NA,0,45.125,1.533,1,6
Upper Klamath Lake,2020,Jul,45.071,3.891,0.008,44.162,0.902,4,7
Upper Klamath Lake,2020,Sep,53.431,13.415,0.02,52.485,0.926,4,9
Upper Klamath Lake,2020,Oct,57.15,8.838,0.016,56.581,0.554,4,10
Upper Klamath Lake,2020,Nov,81.794,0.75,2.21,76.253,3.332,2,11
Upper Klamath Lake,2020,Dec,75.705,5.995,3.764,68.05,3.89,2,12
Upper Klamath Lake,2021,Jan,73.03,NA,1.476,69.162,2.392,1,1
Upper Klamath Lake,2021,Feb,77.921,0.906,6.961,61.317,9.643,2,2
Upper Klamath Lake,2021,Mar,69.056,6.226,3.321,60.046,5.689,4,3
Upper Klamath Lake,2021,Apr,38.918,26.662,0.401,36.994,1.522,6,4
Upper Klamath Lake,2021,May,44.521,4.998,0.012,44.358,0.151,3,5
Upper Klamath Lake,2021,Jun,37.65,4.372,0.001,37.458,0.191,2,6
Upper Klamath Lake,2021,Jul,43.636,3.098,0.096,42.328,1.212,4,7
Upper Klamath Lake,2021,Aug,47.974,2.728,0.026,47.014,0.934,4,8
Upper Klamath Lake,2021,Sep,51.916,9.706,0.128,50.905,0.883,4,9
Upper Klamath Lake,2021,Oct,26.082,NA,0,25.049,1.033,1,10
Upper Klamath Lake,2021,Nov,60.942,7.961,0.215,60.172,0.556,3,11
Upper Klamath Lake,2021,Dec,55.916,12.201,0,55.542,0.373,2,12
Upper Klamath Lake,2022,Jan,64.445,29.488,8.91,44.754,10.78,3,1
Upper Klamath Lake,2022,Feb,68.313,23.307,5.765,52.06,10.489,7,2
Upper Klamath Lake,2022,Mar,63.961,6.398,1.011,58.93,4.02,5,3
Upper Klamath Lake,2022,Apr,36.76,32.716,0.507,34.088,2.166,4,4
Upper Klamath Lake,2022,May,8.997,5.139,0.005,8.968,0.024,2,5
Upper Klamath Lake,2022,Jun,30.605,17.89,0.013,30.192,0.399,3,6
Upper Klamath Lake,2022,Jul,39.657,6.505,0.288,37.819,1.55,7,7
Upper Klamath Lake,2022,Aug,33.312,16.272,0.028,32.575,0.708,12,8
Upper Klamath Lake,2022,Sep,37.744,17.33,0.031,36.492,1.221,5,9
Upper Klamath Lake,2022,Oct,45.994,12.862,0.043,45.434,0.517,8,10
Upper Klamath Lake,2022,Nov,78.301,6.008,8.373,61.736,8.192,4,11
Upper Klamath Lake,2022,Dec,18.939,NA,0,0,18.939,1,12
Upper Klamath Lake,2023,Jan,67.586,27.23,6.078,50.493,11.015,4,1
Upper Klamath Lake,2023,Feb,66.69,19.026,8.568,41.362,16.761,2,2
Upper Klamath Lake,2023,Mar,88.929,NA,2.913,9.616,76.4,1,3
Upper Klamath Lake,2023,Apr,45.798,30.798,1.48,40.357,3.962,3,4
Upper Klamath Lake,2023,May,44.667,22.694,0.295,42.792,1.58,5,5
Upper Klamath Lake,2023,Jun,47.962,15.296,0.299,46.09,1.573,7,6
Upper Klamath Lake,2023,Jul,38.579,15.431,0.074,37.376,1.128,7,7
Upper Klamath Lake,2023,Aug,47.304,3.32,0.011,46.543,0.75,6,8
Upper Klamath Lake,2023,Sep,36.979,22.379,0,36.618,0.361,3,9
Upper Klamath Lake,2023,Oct,51.13,7.302,0.042,50.49,0.598,5,10
Upper Klamath Lake,2023,Nov,64.519,2.856,0.247,62.617,1.655,2,11
Upper Klamath Lake,2023,Dec,74.297,16.308,0.324,72.726,1.247,4,12
Upper Klamath Lake,2024,Feb,53.662,33.266,1.336,49.784,2.541,2,2
Upper Klamath Lake,2024,Apr,14.362,NA,0,14.362,0,1,4
Upper Klamath Lake,2024,May,40.858,21.659,0.122,39.868,0.868,8,5
Upper Klamath Lake,2024,Jun,47.247,5.124,0.012,46.369,0.866,3,6
Upper Klamath Lake,2024,Jul,40.086,19.318,0.003,39.345,0.738,10,7
Upper Klamath Lake,2024,Aug,50.864,26.951,0,49.225,1.639,6,8
Upper Klamath Lake,2024,Sep,46.768,16.376,0,46.087,0.682,9,9
Upper Klamath Lake,2024,Oct,46.369,4.203,0,45.953,0.416,4,10
Upper Klamath Lake,2024,Nov,65.082,8.033,0.585,61.178,3.319,3,11
Upper Klamath Lake,2024,Dec,71.381,17.301,9.65,52.845,8.885,4,12
Upper Klamath Lake,2025,Jan,53.533,25.914,2.389,46.686,4.458,6,1
Upper Klamath Lake,2025,Feb,90.535,15.003,43.453,24.839,22.243,6,2
Upper Klamath Lake,2025,Mar,54.175,38.5,5.324,32.692,16.159,4,3
Upper Klamath Lake,2025,Apr,35.206,32.307,0.74,32.133,2.333,4,4
Upper Klamath Lake,2025,May,47.598,19.409,0.339,45.086,2.172,6,5
Upper Klamath Lake,2025,Jun,55.716,14.633,0.038,52.925,2.753,9,6
Upper Klamath Lake,2025,Jul,49.937,4.758,0.044,47.603,2.289,7,7
Upper Klamath Lake,2025,Aug,45.789,13.733,0.056,43.252,2.481,7,8
Upper Klamath Lake,2025,Sep,40.295,11.299,0.059,38.33,1.906,6,9
Upper Klamath Lake,2025,Oct,53.558,4.341,1.473,46.01,6.076,2,10
Upper Klamath Lake,2025,Nov,55.754,15.995,0.044,53.99,1.72,5,11
Upper Klamath Lake,2025,Dec,59.443,23.549,3.16,52.716,3.567,6,12
